card_id	internal_card_id	card_name	
.0	298	Air Elemental
.1	419	Ancestral Recall
.2	474	Animate Artifact
.3	475	Animate Dead
.4	476	Animate Wall
.5	477	Ankh of Mishra
.6	598	Armageddon
.7	670	Aspect of Wolf
.8	803	Bad Moon
.9	5	Badlands
.10	807	Balance
.11	887	Basalt Monolith
.12	6	Bayou
.13	977	Benalish Hero
.14	986	Berserk
.15	1009	Birds of Paradise
.16	1020	Black Knight
.17	1021	Black Lotus
.18	1027	Black Vise
.19	1028	Black Ward
.20	1055	Blaze of Glory
.21	1066	Blessing
.22	1167	Blue Elemental Blast
.23	1171	Blue Ward
.24	1189	Bog Wraith
.25	1287	Braingeyser
.26	1414	Burrowing
.28	1529	Castle
.29	1582	Celestial Prism
.30	1657	Channel
.32	1665	Chaoslace
.33	1753	Circle of Protection: Black
.34	1754	Circle of Protection: Blue
.35	1755	Circle of Protection: Green
.36	1756	Circle of Protection: Red
.37	1757	Circle of Protection: White
.38	1804	Clockwork Beast
.40	1848	Cockatrice
.41	1913	Consecrate Land
.42	1915	Conservator
.43	1937	Contract from Below
.44	1938	Control Magic
.45	1944	Conversion
.46	1953	Copper Tablet
.47	1956	Copy Artifact
.48	1996	Counterspell
.49	2032	Craw Wurm
.50	2038	Creature Bond
.51	2099	Crusade
.52	2124	Crystal Rod
.53	2169	Cursed Land
.54	2180	Cyclopean Tomb
.55	2232	Dark Ritual
.56	2244	Darkpact
.57	2331	Death Ward
.58	2348	Deathgrip
.59	2349	Deathlace
.60	2427	Demonic Attorney
.61	2431	Demonic Hordes
.62	2435	Demonic Tutor
.63	2549	Dingus Egg
.64	2574	Disenchant
.65	2578	Disintegrate
.66	2594	Disrupting Scepter
.67	2689	Dragon Whelp
.68	2702	Drain Life
.69	2703	Drain Power
.70	2782	Drudge Skeletons
.71	2837	Dwarven Demolition Team
.72	2850	Dwarven Warriors
.73	2859	Earth Elemental
.74	2862	Earthbind
.75	2865	Earthquake
.76	2969	Elvish Archers
.77	3167	Evil Presence
.79	3289	Farmstead
.80	3295	Fastbond
.81	3319	Fear
.82	3331	Feedback
