_____	LR1xd	5aa90ab6-2686-4462-8725-5d4370c05437
+2 Mace	LwWRQ	e882c9f9-bf30-46b6-bedc-379d2c80e5cb
A-Acererak the Archlich	EQQxe	eb363654-2004-4db8-bbd2-5b121da4f2a0
A-Alrund's Epiphany	EJjwN	df2f81dc-2346-4bd9-aa3b-aaa2d3873415
Abandoned Outpost	kyqpo	4945031e-1158-474c-9e50-1ec817acc767
Abandoned Sarcophagus	EZwM0	23b587f3-5eac-45a7-a048-dd73d2a2b74f
Abandon Hope	Yl70Q	942cf220-472c-48f6-8f60-993939ea5ab8
Abandon Reason	Er24M	18c0b3b3-bb62-42c5-9869-386af0540a9b
Abandon the Post	kXj4V	983da138-f0f5-46c4-90c2-d3c34cc37d1f
Abattoir Ghoul	YvgJq	43297ddd-276f-4d2d-9d9c-937603d0e376
Abbey Gargoyles	LKq5N	8d80663b-ea3f-4f7a-bff1-8fde04c05bce
Abbey Griffin	ErDzV	bf87803b-e7c6-4122-add4-72e596167b7e
Abbey Matron	L4m9Z	158caa84-da2e-4c4c-b24d-0c035c900e20
Abbot of Keral Keep	YBbZ5	cb7a2770-9a20-4f52-aac4-24502f50e374
Abduction	EQZwA	63c82bef-50d6-4d25-bc3f-dda2826fc99c
Aberrant Mind Sorcerer	E6oXO	d9c6401a-e152-4acf-a2ca-75c484f296d5
Aberrant Researcher	kAnGD	b5c9649e-9ae5-4926-bf08-71ba23aa37f1
Abeyance	YnN1x	125a355d-bfcf-4125-aa6c-35e7dea6f63e
Abhorrent Overlord	EP7Zp	4415d050-7a76-4f8b-bf78-e33dd21fe4f1
Abiding Grace	EZGGw	db113c47-c403-4c7f-9fa9-212c977df8d1
Abjure	k7J78	fbad9449-d09c-4fd0-b2ad-2aa3a29e03bf
Abnormal Endurance	YMgQ6	de2de2bd-9ba7-4b6f-94c2-dafb2011a48e
Abolish	LDpBb	842e7e6a-c89a-463d-a6e8-743a953c827c
Abominable Treefolk	YdlZG	1eddb834-ea01-44e2-afca-bd9a4ebbdb94
Abomination	E0e2m	a363bc91-8278-448e-9d5c-564e4b51eb62
Abomination of Gudul	YeGl8	7df9759e-1072-4a6a-be57-f73b15bf3847
Abomination of Llanowar	EW7Pl	4b68bc46-5591-44dd-becc-eca154066925
Aboroth	ErBJn	8c72ac67-e4fb-49a1-b1e5-cd2e414bec28
Aboshan, Cephalid Emperor	kA4MA	82db4a41-03e8-4f0c-946c-a98fc5c9f7c8
Aboshan's Desire	LDBOz	137b701e-6140-463e-84b5-58d8a728df40
About Face	EgnXp	85e71828-095b-4729-ab11-c6c39ba29aab
Abrade	LGy7x	a0e47d11-cb21-402b-a39e-588a94cc57b4
Abrupt Decay	EPdrq	a8e328c6-3a84-49cf-a1a3-1d1e5373d274
Absolute Grace	YvZM8	fe7d1839-7180-4b4c-8ddb-7df24573f740
Absolute Law	YNJeg	59d1f05b-f165-47c7-8a78-3b60ee3298ca
Absolver Thrull	L45j6	711979c3-e70b-4973-a4f1-020db534fc73
Absorb	LRdeq	1e8a43c1-42d1-45ef-8a63-4b87775a6e88
Absorb Energy	L3rKv	bfdca67d-9a97-4ddc-8d50-26a48ad2e4b7
Absorb Identity	kydND	aa1c6bcc-2d43-4ea9-a93f-019793616869
Absorb Vis	YB1nv	e319956e-982b-4bba-829a-67bf4ef79d74
Abstract Iguanart	LD58x	c244e904-89ab-4486-a467-16e86f179fcc
Abstruse Interference	Lw02Q	249a7be3-311e-4ce6-97dc-97242463ae23
Abu Ja'far	LwRB2	023b5e6f-10de-422d-8431-11f1fdeca246
Abuna Acolyte	YjDBv	9e17bbf7-00c0-46f2-9718-2762fd7388d3
Abuna's Chant	E6wRw	b9e0bf63-0399-40d6-9162-4562d7bcdd0e
Abundance	YnMZv	73a44759-1fa4-4a96-b668-316851e8a35a
Abundant Growth	EWmw1	1a05b2f6-a6b3-4e30-904b-0dc85d124ef8
Abundant Harvest	EZGZV	5ad86b17-3fed-418a-938c-c49adb409531
Abundant Maw	Y2xDW	8a4e7ef7-7958-4d7c-b319-4d3db7955002
Abyssal Gatekeeper	LKoem	6d2a66f0-1afe-41e6-a597-ec2e95685191
Abyssal Horror	Yx5gV	ccb42943-f599-4068-a364-a023e70c4ed2
Abyssal Hunter	k9ryg	3c3f6ad7-4782-40db-8eb3-e71d71ec3388
Abyssal Nightstalker	YBQrM	0b688039-7441-490b-ad06-8a72086c4023
Abyssal Nocturnus	Y83vO	fe094903-45a6-4b11-b80e-aabe915c4b7c
Abyssal Persecutor	L4ZKZ	9f2b9f27-459c-4585-9051-b83ffe053a74
Abyssal Specter	EPdvJ	69a41bec-7fb0-4060-918a-38cbbb329543
Abzan Advantage	kXwqK	3ffd46f5-afd1-4130-b019-d8822e61fdfa
Abzan Ascendancy	EJgy8	63e735b1-7643-48db-9731-aea0212d0e2b
Abzan Banner	YvGmp	7855528a-ede9-49a9-8749-795a004fd927
Abzan Battle Priest	Y8Zx7	3f2877ac-195b-4397-89bd-0bee3220b2a4
Abzan Beastmaster	Ye1q1	219c4ab2-1f7c-469b-a72a-d435213f130c
Abzan Charm	kpND1	8a3bd3e8-a408-4d64-9cb5-d5053fae1e64
Abzan Falconer	YnGKB	5f03c34e-5304-4e62-a1ea-c8c9aa5f2342
Abzan Guide	E0aq2	1b7f7158-4a31-4a1c-bf3b-574c0b09276a
Abzan Kin-Guard	Eb9qn	cec0ef55-57fd-404f-b9f6-b5d41e77b58c
Abzan Runemark	EQwqa	fe356261-3126-41f1-ae71-b69ca5641f84
Abzan Skycaptain	LKwqd	c4195373-e902-4fc3-aead-1f6e728dbbae
Academic Dispute	Ydnow	4620cc3b-e401-4096-b310-fed080806344
Academic Probation	EPGAR	05521edf-f47f-4e7a-aec5-cdc4ae7368c2
Academy Drake	YeoJO	f8bacb12-da46-4b00-804f-9ff6bff452bc
Academy Elite	YnlR3	f3728fbb-3a99-443a-b514-40f9990669c5
Academy Journeymage	LKvJP	a46a65e0-66a3-4896-8acc-0ad5e9927c40
Academy Manufactor	EQGV4	90744c2c-6dd7-4623-8cbf-b138b83ee88f
Academy Raider	LK73P	6652ed29-ee90-4abc-a6cf-6b18a6cbae86
Academy Rector	L3Pwq	4367bc78-0912-4abd-8edd-bc792558d01a
Academy Researchers	Er7RM	b62ca800-ec24-476e-b56f-834eef9622a9
Academy Ruins	YNeQJ	a95b7645-154f-4904-bf71-db7eb24d4df2
Accelerate	ErPj7	6a28dd88-db90-4f02-8aa9-39051d2c4763
Accelerated Mutation	kA2Ae	282f808c-0b58-4b98-aeda-f606a10d1a4b
Acceptable Losses	YxqOJ	9082bfb8-0ab0-4378-976d-a2c9d3c35a5e
Accessories to Murder	k97p4	e8ca02a0-5acf-4d89-847b-bad0d7560682
Access Tunnel	Y2X4W	edf8eb51-9643-4c54-b38e-e7abea92bbe1
Acclaimed Contender	Yxlmm	fb6b12e7-bb93-4eb6-bad1-b256a6ccff4e
Accomplished Alchemist	kaD2a	0d7b7830-b65e-4c53-98e8-152026764e4b
Accomplished Automaton	kpZw1	aa453daf-6ceb-4e45-bfb3-f6f45835ac11
Accorder Paladin	YojlZ	df0a4370-729d-40e7-b68b-21902648492d
Accorder's Shield	EP5mm	c5a4c2ab-c5bc-4e07-8671-a688ebd5471c
Accumulated Knowledge	kAOKa	ad88e5ee-0eee-47af-a7b4-9bac044e1c8c
Accursed Centaur	YMoPe	894556d8-6d5c-431b-a45d-26cd37c5f456
Accursed Horde	Yjj9l	709bcbca-7238-4c31-8d9e-ec0d54d0b298
Accursed Spirit	ky5jX	2513fe72-4e20-49e6-9970-839f1c635792
Accursed Witch	Lmar0	8093f8b0-5d50-48ca-b616-e92535a47138
Acererak the Archlich	kqw2r	dd52d0bd-3abd-401c-9f56-ee911613da3b
"Ach! Hans, Run!"	E1PxB	84f2c8f5-8e11-4639-b7de-00e4a2cbabee
Acidic Dagger	YMndK	6dfdea79-2a7c-489d-8466-e6090c2a0919
Acidic Slime	kyxAX	2a6d791f-11c1-44ce-8084-591250b9f802
Acidic Sliver	LD7GW	d0b3ecf1-5c00-4aa0-92fd-54829495a3cf
Acidic Soil	kaBe2	790157c9-b1ed-4da5-9d50-e99e0dd807b7
Acid Rain	EPrl3	13281377-6d16-4ed3-8aa6-c47d6eb783df
Acid-Spewer Dragon	YjGl7	aa8f58f1-4843-4926-b3c4-98898201c216
Acid Web Spider	kO0dW	968a25a5-9ec1-47fa-bf1f-e65eb75fdb00
A-Cloister Gargoyle	EJj68	735b16a4-c35a-4eec-94ed-8df6720240e0
Acolyte of Affliction	kANBJ	a14afed6-ca42-442d-ba86-621179e6957c
Acolyte of the Inferno	kX061	186581c7-81a6-4c27-b8a9-ff7f7a4b1d40
Acolyte of Xathrid	Lmo3x	4b0b14d4-41de-42ac-9894-77bbcebaabfc
Acolyte's Reward	Y2aNX	cd8980af-c3fa-4027-917a-4a3d441c0a75
Acorn Catapult	YvJ5e	834354a3-f984-4882-bc71-080112107e64
Acornelia, Fashionable Filcher	EP6jq	e9c37a83-3d5e-4019-b180-88e2bc106dd0
Acorn Harvest	LVDMl	32987720-cc0c-416b-b79b-217d3b37542d
A-Cosmos Elixir	YdOle	f7f1ce0b-6668-4d16-8fe0-07c65ce4bc82
Acquire	L3zx1	993957c7-5d61-4c98-826d-b657aed667e1
Acquisitions Expert	YMXB6	281336c7-ca7c-4c91-bdfb-d253a965cb7c
Acridian	L3D8l	05d5a38f-5a60-46da-af1c-440e4bf7fe9e
Acrobatic Maneuver	kabK2	74f92174-f38f-4623-a5f7-f5be7f7dcc9d
Active Volcano	LGv86	35d304de-5a24-487e-87f9-0ba9b6d70296
Act of Aggression	E0ZOl	8d34c3aa-7d74-4a8b-898c-cb62b1f05989
Act of Authority	EZ59N	e107bd35-eddd-40f7-aea8-3a1eec3363c0
Act of Heroism	Yxv8P	969860ba-6923-4715-b065-81803bba3dd6
Act of Treason	LD2w9	78fec7e6-5ed9-46dc-93b4-7a054d763403
Act on Impulse	LDpjx	bfe513d1-2509-4051-ba85-49a19479fa5c
Adamant Will	L482P	bd091f3e-5fcc-4d12-b0c3-3b6340ab01d8
Adamaro, First to Desire	YlBol	d2fa85ea-f5d5-4be3-a874-ce246c3e4245
Adanto Vanguard	Eb229	21c950d7-b4f6-4902-8c9a-98f2933f9fa5
Adaptive Automaton	EQege	ba16bfb3-dbd3-4b3a-b155-08b613268d57
Adaptive Shimmerer	Yl959	d8a2e243-e446-46c6-8a37-e26620951c41
Adaptive Snapjaw	E0R33	0d3c0c43-2d6d-49b8-a112-07611a23ae69
Adarkar Sentinel	LRqBv	3802c412-6c85-46aa-b21e-52edc0536f6c
Adarkar Unicorn	YnemN	0ba7526f-dba8-4483-b925-946164fc0ae9
Adarkar Valkyrie	Yxe4y	fc2a4abc-85da-46a6-a616-9aa607ce7372
Adarkar Wastes	LK8pz	f31cf014-7ac9-428b-9ce9-8ba5ebfdd252
Adarkar Windform	L3Kzv	c18bce4a-9afb-4b91-bc9a-d62634b0f8dd
Adder-Staff Boggart	L4DD7	d116839f-6a3a-4a2e-a3ab-ea177c012746
Addle	L4O86	f7fcce83-4378-405f-8007-dd0ed002be6b
Adeline, Resplendent Cathar	YxdrJ	18092f68-b96e-4084-9eba-b240d2195d81
Adeliz, the Cinder Wind	Eb2NJ	b3c950e2-a43b-47f8-9ad6-1909ccc7acbf
A-Demilich	E56Dd	e200b8f1-3738-4db4-a2b3-7aeb4c2fd59b
Adherent of Hope	Egl5w	ce2bc7ad-458d-445e-a0a9-7897b596fdd0
A-Divide by Zero	LK3gb	e550b066-1dc3-47a9-a89b-fcaee5706825
Admiral Beckett Brass	kyeeN	9854c2ec-0e53-4ac7-b417-554a9331c5e0
Admiral's Order	Eg6op	80dc0310-afd9-49b4-b58f-a0e91120c38c
Admonition Angel	EJMQ4	a6e7713d-6054-46a7-a8bc-f09e7a81a571
Ad Nauseam	kq9ZP	a9f2c53e-ff58-4aa8-89a6-4f45628cc571
Adorable Kitten	YdK6v	d25ff6aa-a01d-49f2-926f-8f5457143b5c
Adorned Pouncer	Eg5jr	865e267d-450c-4eeb-b61d-bd0ec5d8534a
Adriana, Captain of the Guard	Eg1dZ	d29569dd-6d79-412d-bc14-674cd1705260
Adriana's Valor	YNRjQ	8bfd6889-90e2-49fe-bd30-7d850dc18db2
Adrix and Nev, Twincasters	k9g31	d495e084-92ec-4675-b6aa-8ade2775b796
A-Druid Class	ErlOV	8cbd3554-0096-470d-ba9d-011f5c8212c4
Adult Gold Dragon	EWmJx	67a76010-d932-4727-8b5e-b8e2d14e1362
A-Dungeon Descent	Eg9BZ	7673def9-9f27-4382-b65b-ec616fae1768
Adun Oakenshield	LDXZN	184da30e-0db4-450c-8856-5c23088c35be
Advanced Hoverguard	kan4x	7384d50a-5801-47ed-ab9f-5c7e4f1f20dd
Advanced Stitchwing	Er2Wn	f9c9e68a-6b73-456b-8895-065d26446430
Advance Scout	EJVBA	81ce7e1e-ffe5-4ced-8967-9a6917245240
Advantageous Proclamation	EPrAv	f8c37fe8-43b3-454e-a70b-5b0d0f396a33
Advent of the Wurm	Y2pWB	ba3b5e35-5448-4115-a9c5-6ac14013c904
Adventure Awaits	k7lpB	db50f988-da46-4b9b-9cc5-78497df2df8b
Adventurers' Guildhouse	Ydg03	32865e68-5842-4f17-b2ea-4ffa743b511f
Adventuring Gear	YvJg1	3aa395f2-656e-4bf3-bd9b-6240bd3e2774
