shandalar_id	shandalar_internal_id	name	moxfield_id	scryfall_id
.0	298	Air Elemental	Er6jV	a27efec0-40c4-48bc-a21a-3af28a6529b5
.1	419	Ancestral Recall	YNwdQ	2398892d-28e9-4009-81ec-0d544af79d2b
.2	474	Animate Artifact	YnDgN	63aec27b-8cda-46c2-9f4f-9ebe98dffe2e
.3	475	Animate Dead	kX5mr	7b83536a-efa4-41f3-9424-75b0efc0aea5
.4	476	Animate Wall	kqNO5	0fa5725c-fcf8-4f84-9093-75b454b4755f
.5	477	Ankh of Mishra	E1N0B	a6f86a32-8863-45da-99be-ef886c89f2c5
.6	598	Armageddon	E5KQM	77f1f6ac-983f-4f3e-8906-47f774e8367b
.7	670	Aspect of Wolf	EbO46	38af8356-2d7f-4699-9e57-08906c1c831b
.8	803	Bad Moon	Yd14r	8f8a75da-ea3c-43e7-9d32-1c92f8ec0fd2
.9	5	Badlands	Ye1Mm	73403d04-fe97-4830-8b80-16dd1a1a6cc1
.10	807	Balance	Yeg42	ce648aa3-098b-4af0-a433-fd290bc85904
.11	887	Basalt Monolith	EPe6J	f79de5e7-1545-420c-bfe1-ee2444fca85b
.12	6	Bayou	LGryZ	bd7567df-b4d8-41a8-8eac-c05afa784bfe
.13	977	Benalish Hero	EbJma	a14ba3be-f7cb-47e5-b6c4-d09cfd3cac34
.14	986	Berserk	k964A	62bc9bff-89bd-4454-a876-53822cf48546
.15	1009	Birds of Paradise	YeDrm	feefe9f0-24a6-461c-9ef1-86c5a6f33b83
.16	1020	Black Knight	Yv7l8	db593d4f-d3c1-48ae-a55d-4b61d2cb5cc2
.17	1021	Black Lotus	Yn1Gp	bd8fa327-dd41-4737-8f19-2cf5eb1f7cdd
.18	1027	Black Vise	LVOxK	bce2259a-f4cb-4130-9c7e-130980a8df38
.19	1028	Black Ward	ky0Kb	218b1327-5f76-4ee2-a93d-d2ba412043c2
.20	1055	Blaze of Glory	Y8lBy	2f6ed7bd-2186-4e92-9fbc-e2abbfd3bc23
.21	1066	Blessing	Ervl7	4273cf50-db65-4b1f-95e1-f24ba6582c8b
.22	1167	Blue Elemental Blast	k9x5e	2f51f88f-f662-4572-a371-9a77718ed079
.23	1171	Blue Ward	LDJ1X	de62c833-c66b-442e-99ed-99ccd8eca024
.24	1189	Bog Wraith	kOrMr	5d17210c-be39-4abc-9d4d-4f2eca9573bd
.25	1287	Braingeyser	kXzGM	23b33d16-dbaa-4742-9317-eac745f772ac
.26	1414	Burrowing	EJQPB	c665180c-a69b-446e-9894-3b3be624db7f
.28	1529	Castle	LRqlK	ffe82e29-e781-48bf-8673-7954553f7cf0
.29	1582	Celestial Prism	E1GPm	e7ca1534-0049-4672-9677-99f1ba00fb78
.30	1657	Channel	LVoDO	ce54c7c1-3401-4414-8da0-5846cb0ae1b4
.32	1665	Chaoslace	L4elZ	476180df-8b88-4ead-b6c5-6ccb3e8a2cfd
.33	1753	Circle of Protection: Black	LmpVq	edab2933-5970-4a17-ac00-abcd2c048fdc
.34	1754	Circle of Protection: Blue	EPa7q	5ced2118-dfb3-4f29-ad6b-454c0a8a094b
.35	1755	Circle of Protection: Green	ErgVR	eecc0e7d-a15b-4930-93d1-832c4fed733b
.36	1756	Circle of Protection: Red	LV1Mj	d7920b6d-ff71-4802-9589-e1df0c58b9ff
.37	1757	Circle of Protection: White	YlnJQ	2e64f2cc-67bd-482a-938b-8dca1a1c6ac1
.38	1804	Clockwork Beast	EPoMm	1a3bdfda-4269-45be-931d-ecfecbb389a8
.40	1848	Cockatrice	EJXO8	4efcc6db-66bd-42c1-9a74-fd474f784232
.41	1913	Consecrate Land	LmJ6K	ded79afb-2a65-49e8-81c3-757e5d4c2203
.42	1915	Conservator	kXO1D	f6639eea-d0ae-4f0d-a8da-1b863b482b68
.43	1937	Contract from Below	LGMVo	e1e33690-b851-404a-9cde-d00235be5aa5
.44	1938	Control Magic	Lm26x	84992800-9bad-4598-afd4-f1e59d2e0956
.45	1944	Conversion	YnD5N	70bad071-f01e-4309-b37a-a3ea45dc7d3a
.46	1953	Copper Tablet	k7Bbd	f953fa1a-14ea-46db-9a28-7375f0528335
.47	1956	Copy Artifact	ky2O4	cd360a6c-6685-462b-8aee-b869c1e4aa89
.48	1996	Counterspell	kOGdo	1920dae4-fb92-4f19-ae4b-eb3276b8dac7
.49	2032	Craw Wurm	YxKxn	3875f73d-6108-488b-bd34-4cf2c23ce6b3
.50	2038	Creature Bond	Lwab2	717c5ee5-a033-4a58-bdcb-ef54e6c8b7a9
.51	2099	Crusade	YdVZ8	b99452c0-5d1c-4a73-90b6-0ec3ac0af893
.52	2124	Crystal Rod	YNaKl	bbe82b91-69e2-4528-b80a-a61183c352ad
.53	2169	Cursed Land	kqd4x	39d9801b-9707-4868-bde1-39960b761992
.54	2180	Cyclopean Tomb	Ebzxn	7c77c7c1-39a5-4049-8e2c-3561b046152e
.55	2232	Dark Ritual	YoO8W	95f27eeb-6f14-4db3-adb9-9be5ed76b34b
.56	2244	Darkpact	kyaJP	f9ab1c5e-e36e-4a2a-9e6d-c993edc17c03
.57	2331	Death Ward	L3zO3	e7e9d19c-22d9-4451-b988-9ec71793c13d
.58	2348	Deathgrip	EPrGl	fc86164d-24f1-4fad-a358-f61dbfd86bd9
.59	2349	Deathlace	LK27m	237e37fb-383d-432c-8ac3-1332096567db
.60	2427	Demonic Attorney	EJwbp	233b1104-91b3-4949-8356-baf6e80ab07e
.61	2431	Demonic Hordes	Ydzne	dfd1442d-ac66-4475-8704-1eaaa76f4365
.62	2435	Demonic Tutor	LGzWx	3bdbc231-5316-4abd-9d8d-d87cff2c9847
.63	2549	Dingus Egg	YndbB	30d893a2-400c-459d-a26d-31f1f3b0642e
.64	2574	Disenchant	YoeDJ	2ba38105-bada-449a-ab2f-3d6db2764a06
.65	2578	Disintegrate	E6DWw	a83420d1-c51a-4fb7-8f1d-b376a0083d95
.66	2594	Disrupting Scepter	LD1Gx	55be5981-5bbc-4621-9f53-fc4edd4fde7e
.67	2689	Dragon Whelp	E0W5b	859f40ef-8c15-4984-8320-526a72d14261
.68	2702	Drain Life	E0r12	41a9b3b2-4ac9-4e50-bcd2-8831d0739e85
.69	2703	Drain Power	E0x7J	380a7357-8c07-4ee5-83a0-10672d7e85d4
.70	2782	Drudge Skeletons	Lm1Q3	bd6f73bc-3181-40fa-9156-b73e4280e747
.71	2837	Dwarven Demolition Team	LmJMq	94d17787-1f59-4e88-ba57-e69f02bb3ffe
.72	2850	Dwarven Warriors	k9wmg	d217942b-1253-4d4b-b0d2-09fc4e15cc62
.73	2859	Earth Elemental	LwQgm	659eeb25-b79b-4229-9d84-e28f6a636958
.74	2862	Earthbind	Lz3lN	784cc686-e5a2-4835-8ff2-820461868ffa
.75	2865	Earthquake	YvzdV	7cf2f3c7-66b2-48f6-97ef-09150903df7e
.76	2969	Elvish Archers	ErmlZ	0e8411c9-4f6f-4301-ac36-386016a32852
.77	3167	Evil Presence	EPrZJ	4dd00bc5-234c-4ded-b0b7-1181bc16cb28
.79	3289	Farmstead	E1bB3	8cd5732c-cd54-48d8-8b32-f33782ec69da
.80	3295	Fastbond	Yoxly	daf43523-558c-4701-9fa3-5d1ceb82a006
.81	3319	Fear	LzR1a	d8fa57eb-e307-4104-a291-c6cbfa235816
.82	3331	Feedback	LmxO0	1d452de7-3f44-4594-bb24-2178812da9d6
.83	3414	Fire Elemental	LD0nb	4df16df8-3270-4a09-8167-5b6a2068edb9
.84	3421	Fireball	Yx6o9	7220aaa0-c457-4067-b1ff-360b161c34e5
.85	3424	Firebreathing	LDDRp	6fbcc269-aaa3-42aa-9898-3f908aaae272
.86	3490	Flashfires	LV15j	277e0846-237e-4117-bdd4-d2e4ae450d43
.87	3522	Flight	YnDl3	15316953-dcb2-4428-b90a-c90d3d4c45f3
.88	3562	Fog	EbMq6	bbc3152e-7b3b-4ac6-8b33-abfebde216aa
.89	3586	Force of Nature	k9V3e	2fa16a96-8e70-4ab5-926c-edafaf5f5a63
.90	3594	Forcefield	kqN1r	c6e4c51a-8539-48e0-a6dc-d66548e38f40
.91	2	Forest	YlpBN	7ae6380e-b1b6-4a5a-a8d9-7cdf8eab3557
.92	3609	Fork	kXz7K	e4ff994a-bddd-486d-9a7b-a8959b4cf1dd
.93	3665	Frozen Shade	ErP4V	cbd0b4ff-f49f-4079-991a-f66d1220235d
